Part, QTY, Cost, Link
Raspberry PI 5 - 4GB RAM,1,~ 50 €,https://www.digikey.de/de/products/detail/raspberry-pi/SC1431/21658261
Analog Discovery 2,1,~250 €,https://www.digikey.de/en/products/detail/digilent-inc/410-321/5810115
"LAFVIN 10,1 Zoll IPS LCD Touch Screen",1,~ 65 €,https://www.amazon.de/dp/B0C85WLC35?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
FNITAER 160W USB - 6 Ports,1,~27 €,https://www.amazon.de/dp/B0F87FP69T?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
USB C Cable 100W,1,~ 5  €,https://www.amazon.de/dp/B0BLXKTJ8P?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Geekworm Passive Heatsink - PI 5,1,~ 8.5 €,https://www.amazon.de/dp/B0DDPWYLY1?ref=ppx_yo2ov_dt_b_fed_asin_title
Passive Heatsinks (for Analog Discovery 2),1,~ 6.5 €,https://www.amazon.de/dp/B0C2HW56YJ?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
USB 80mm Fan,1,~ 12 €,https://www.amazon.de/dp/B06XRCDZDH?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Micro USB 90° Cable,1,~ 5 €,https://www.amazon.de/dp/B0B6YV35CX?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
40-pin flexible ribbon cable,1,~ 2 €,https://www.amazon.de/dp/B0932KVC1Q?ref=ppx_yo2ov_dt_b_fed_asin_title
USB Hub 3.0 - 4 Port,1,~ 7 €,https://www.amazon.de/dp/B0BWH9DZRV?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
"USB 2.0 to DC 5,5x2,1mm",1,~ 2 €,https://www.amazon.de/dp/B07YKTMTYY?ref=ppx_yo2ov_dt_b_fed_asin_title
USB A to Micro USB Cable,1,~ 2 €,https://www.amazon.de/dp/B07G934SJ9?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
M3 Threaded inserts,6,-,https://www.amazon.de/ruthex-Gewindeeinsatz-Sortimentskasten-St%C3%BCck-Kunststoffteile/dp/B08K1BVGN9/ref=sr_1_1_sspa?crid=WZTJC2I5OF8N&dib=eyJ2IjoiMSJ9.EiFIzwFz8lhJ_aAPesH9pyMu9-QYdOm4o03fbqmkzOc0YH_HOeE8F52sxv6b-iBxB07trueuR2400YTne9CRUvdccNa61ETqDSPeJ6JHNXhJY3EhD-73Bc2S4fM3qluEGiJqUetfq6ZYhY2Bm8VjiAdNKdj_1aBgWymI1X1vPJAYCgpSfREaDITOIbK660X2qdG9KxfJm1rtCQsUoVpmOtn12R20eEhe-WUqdFlZKtkBcimksLkWVayboFLAp7gZPUJVPpNoOjbMfqqR8hGqRuNU8jkhSoGlrkdaO-NHZdw.4f81pU7iF-_gyViBEUr2BHBiknGDDmmBAb5FAQiKw4o&dib_tag=se&keywords=ruthex+gewindeeins%C3%A4tze&qid=1755260756&sprefix=ruthex+%2Caps%2C188&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
M4 Threaded inserts,16,-,https://www.amazon.de/ruthex-Gewindeeinsatz-Sortimentskasten-St%C3%BCck-Kunststoffteile/dp/B08K1BVGN9/ref=sr_1_1_sspa?crid=WZTJC2I5OF8N&dib=eyJ2IjoiMSJ9.EiFIzwFz8lhJ_aAPesH9pyMu9-QYdOm4o03fbqmkzOc0YH_HOeE8F52sxv6b-iBxB07trueuR2400YTne9CRUvdccNa61ETqDSPeJ6JHNXhJY3EhD-73Bc2S4fM3qluEGiJqUetfq6ZYhY2Bm8VjiAdNKdj_1aBgWymI1X1vPJAYCgpSfREaDITOIbK660X2qdG9KxfJm1rtCQsUoVpmOtn12R20eEhe-WUqdFlZKtkBcimksLkWVayboFLAp7gZPUJVPpNoOjbMfqqR8hGqRuNU8jkhSoGlrkdaO-NHZdw.4f81pU7iF-_gyViBEUr2BHBiknGDDmmBAb5FAQiKw4o&dib_tag=se&keywords=ruthex+gewindeeins%C3%A4tze&qid=1755260756&sprefix=ruthex+%2Caps%2C188&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
M4x10mm ISO 4762,16,-,-
M3x8mm ISO 10642,6,-,-
PLA Filament,,,